Feature ID,Taxon,Confidence
01d66c6ad6ac1c072a2fb3e97f6ca3f3,Eukaryota;Stramenopiles;Sagenista;Labyrinthulomycetes;Thraustochytriales;Thraustochytriaceae;Thraustochytriaceae_X;Thraustochytriaceae_X_sp.;,0.9999473379112387
01d836e63da1a5f5c2a0ffbc06747263,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;,0.9737132484410103
01da78832dff1ce17a0869e78af567ac,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II_X;Dino-Group-II_XX;Dino-Group-II_XX_sp.;,0.9813735247334098
01dfb0ed4b66f75da63ab5c484d2effd,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;Chrysophyceae_X;Chrysophyceae_Clade-C;Chrysophyceae_Clade-C_X;Chrysophyceae_Clade-C_X_sp.;,0.9996144426246425
01ec129dce7260cc26550131cba78548,Eukaryota;Alveolata;Dinoflagellata;Dinophyceae,0.9999989558369307
01f0878a137684b76424ca39b8f721db,Eukaryota;Rhizaria;Radiolaria;Acantharea;Chaunacanthida;Chaunacanthida_X;Gigartacon;Gigartacon_muelleri;,0.980254989621023
01f35c0e24c91d367910a5850142b956,Eukaryota;Opisthokonta;Metazoa;Cnidaria;Cnidaria_X;Hydrozoa,0.9999999998702767
0200873cfa4281adcfc57e16c18cc8c7,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-9;Dino-Group-II-Clade-9_X;Dino-Group-II-Clade-9_X_sp.;,0.9999999839634769
0201e8582d04698176f99bfc7374ad53,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-12;Dino-Group-II-Clade-12_X;Dino-Group-II-Clade-12_X_sp.;,0.9999985067991936
020721317d1bb8133b43c812e483f15b,Eukaryota;Stramenopiles;Opalozoa;MAST-12;MAST-12E;MAST-12E_X;MAST-12E_XX;MAST-12E_XX_sp.;,0.9999999993986535
02090fd9f4ceb98b1e8976a1c3ed740b,Eukaryota;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II,0.9995352672385174
0209da1fe8799ca37395ae9de6566414,Eukaryota;Alveolata;Ciliophora;Spirotrichea;Strombidiida,0.8883468426663057
02122c7e10501ab1bd8ce6e714beb560,Eukaryota;Rhizaria;Radiolaria;RAD-A;RAD-A_X;RAD-A_XX;RAD-A_XXX;RAD-A_XXX_sp.;,0.9999999694810531
0213a915c7a25c8a6d83f25ac3397e68,Eukaryota;Archaeplastida;Streptophyta;Embryophyceae;Embryophyceae_X;Embryophyceae_XX;Brassica,0.9971959330689858
0216d265e7ae9dbdb436daf97dbe3dcb,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;Polar-centric-Mediophyceae;Hemiaulus;Hemiaulus_sinensis;,0.8784180086943293
